,rawData,additive,description
786,"Metoserpate hydrochloride-VET, REG, 0.02 ppm neg res - In edible tissues of chickens - 556.410: Use - 520.1422","Metoserpate hydrochloride-VET, REG, 0.02 ppm neg res",In edible tissues of chickens - 556.410: Use - 520.1422
787,"Microcapsules- MISC, REG, GMP, For flavoring oils & spices, Capsules contain succinylated gelatin, arabinogalactan, silicon dioxide, glutaraldehyde, n-octyl alcohol & petroleum wax - 172.230",Microcapsules,"MISC, REG, GMP, For flavoring oils & spices, Capsules contain succinylated gelatin, arabinogalactan, silicon dioxide, glutaraldehyde, n-octyl alcohol & petroleum wax - 172.230"
788,"Microcrystalline cellulose- MISC, FS, Unlisted GRAS",Microcrystalline cellulose,"MISC, FS, Unlisted GRAS"
789,"Microparticulated protein product- MISC, GRAS, GMP, Thickener & texturizer in frozen dessert-type pdts. May not be used to replace milk fat in standardized frozen desserts.-184.1498",Microparticulated protein product,"MISC, GRAS, GMP, Thickener & texturizer in frozen dessert-type pdts. May not be used to replace milk fat in standardized frozen desserts.-184.1498"
790,Milk Clotting Enzymes- 173.150 see Enzymes,Milk Clotting Enzymes,173.150 see Enzymes
791,"Mimosa (black wattle) flowers- FL/ADJ, REG, GMP, In conjunction w/flavors only - 172.510",Mimosa (black wattle) flowers,"FL/ADJ, REG, GMP, In conjunction w/flavors only - 172.510"
792,"Mineral oil, white (Use limitations include all petroleum hydrocarbons that may be used in combination with white mineral oil)- AF, REG, < l50 ppm - In yeast from defoamer comp - 173.340; < 0.008% of wash water - Comp of defoaming agents in wash water for sliced potatoes - do; CTG, REG, GMP, on fruits & veg - 172.878; MISC, REG, GMP, Protective float on brine used in curing pickles - do; GMP, Float-sealant on fermentation fluids in mfr of vinegar & wine - do; < 0.6% - In food as release agent, binder & lubricant in/on capsules & tabs containing food for sp diet use - do; < 0.02% - Dr fruits & veg as release agent in dry­ing pans - do; < 0.95% - Frozen meat as hot melt coating ­do; < 0.10% - Egg white solids as release agent in drying ­do; < 0.15% - Bakery pdts as release agent & lubricant - do; < 0.15% - Yeast as release agent, binder & lubricant - do; < 0.2% - Release, sealing & polishing agent in confectionery - do;< 0.25% - Antidusting agent in sorbic acid for food use - do;< 0.3% - In molding starch used in mfr of confectionery - do;< 0.6% - Release agent, binder &/or lubricant in/on capsules or tabs containing concentrates of flavors, spices, condiments, & nutrients intended for addition to food, excluding confectionery; & in capsules & tabs containing foods for sp diet use - do; < 0.02% by wt - A dust control agent for wheat, corn, soybean, barley, rice, rye, oats, & sorghum - do; < 0.08% by wt - A dust control agent for rice; REG, < 10 ppm - In food as lubricant on food-processing equipment - 178.3570; FEED, REG, 0.06% - Of total ration of animal - 573.680; 3.0% - In mineral suppls - do; GMP, In feed grade biuret - do","Mineral oil, white (Use limitations include all petroleum hydrocarbons that may be used in combination with white mineral oil)","AF, REG, < l50 ppm - In yeast from defoamer comp - 173.340; < 0.008% of wash water - Comp of defoaming agents in wash water for sliced potatoes - do; CTG, REG, GMP, on fruits & veg - 172.878; MISC, REG, GMP, Protective float on brine used in curing pickles - do; GMP, Float-sealant on fermentation fluids in mfr of vinegar & wine - do; < 0.6% - In food as release agent, binder & lubricant in/on capsules & tabs containing food for sp diet use - do; < 0.02% - Dr fruits & veg as release agent in dry­ing pans - do; < 0.95% - Frozen meat as hot melt coating ­do; < 0.10% - Egg white solids as release agent in drying ­do; < 0.15% - Bakery pdts as release agent & lubricant - do; < 0.15% - Yeast as release agent, binder & lubricant - do; < 0.2% - Release, sealing & polishing agent in confectionery - do;< 0.25% - Antidusting agent in sorbic acid for food use - do;< 0.3% - In molding starch used in mfr of confectionery - do;< 0.6% - Release agent, binder &/or lubricant in/on capsules or tabs containing concentrates of flavors, spices, condiments, & nutrients intended for addition to food, excluding confectionery; & in capsules & tabs containing foods for sp diet use - do; < 0.02% by wt - A dust control agent for wheat, corn, soybean, barley, rice, rye, oats, & sorghum - do; < 0.08% by wt - A dust control agent for rice; REG, < 10 ppm - In food as lubricant on food-processing equipment - 178.3570; FEED, REG, 0.06% - Of total ration of animal - 573.680; 3.0% - In mineral suppls - do; GMP, In feed grade biuret - do"
793,"Mixed Carbohydrase and Protease enzyme product- ENZ, GRAS, GMP - 184.1027",Mixed Carbohydrase and Protease enzyme product,"ENZ, GRAS, GMP - 184.1027"
794,"Modified Hop Extract- FLAV, REG, GMP - IN BEER 172.560",Modified Hop Extract,"FLAV, REG, GMP - IN BEER 172.560"
795,"Molasses (extract)- ESO, GRAS - 182.20",Molasses (extract),"ESO, GRAS - 182.20"
796,"Molecular sieve resins- MISC, REG, GMP, For final purification of partially delactosed whey - 173.40",Molecular sieve resins,"MISC, REG, GMP, For final purification of partially delactosed whey - 173.40"
797,"Monensin, monensin sodium- FEED, REG, 0.05 ppm As res in edible tissues of cattle - 556.420; 1.5 ppm - As res in muscle tissue of chicken & turkey - do; 3.0 ppm - As res in skin w/fat of chicken & turkey - do; 4.5 ppm - As res in liver of chicken - do; Uses in chicken & cattle feeds -558.355, 558.1448b; Use as a medicated block for cattle -520.1448a; Use in Liquid Feed for cattle - 558.355; VET, REG, Use in goat feed - 558.340; 0.05 ppm - As res in edible tissues of cattle & goats - 556.420","Monensin, monensin sodium","FEED, REG, 0.05 ppm As res in edible tissues of cattle - 556.420; 1.5 ppm - As res in muscle tissue of chicken & turkey - do; 3.0 ppm - As res in skin w/fat of chicken & turkey - do; 4.5 ppm - As res in liver of chicken - do; Uses in chicken & cattle feeds -558.355, 558.1448b; Use as a medicated block for cattle -520.1448a; Use in Liquid Feed for cattle - 558.355; VET, REG, Use in goat feed - 558.340; 0.05 ppm - As res in edible tissues of cattle & goats - 556.420"
798,"Monoammonium glutamate- MISC, GRAS - 182.1500",Monoammonium glutamate,"MISC, GRAS - 182.1500"
799,"Monobutyl esters of polyethylene-polypropylene glycol produced by random condensation of a 1:1 mixture by weight of ethylene oxide & propylene oxide with butanol- BC, REG, GMP, Boiler water compound -173.310",Monobutyl esters of polyethylene-polypropylene glycol produced by random condensation of a 1:1 mixture by weight of ethylene oxide & propylene oxide with butanol,"BC, REG, GMP, Boiler water compound -173.310"
800,"Monocalcium phosphate (calcium phosphate monobasic)- B&N, GRAS/FS, X-ref - calcium phosphate, monobasic - 182.1217, 182.5217, 182.6215, 182.8217; < 0.75 parts/100 parts of flour (Part 136, Bakery Pdts - 136.110, 136.115, 136.130, 136.160, 136.180); < 4.5 parts including sodium bicarbonate/100 parts of cereal pdt, Part 137 (137.180, 137.270); > 0.25% and < 0.75% phosphated flour; In Self-rising Cereal Flours or Meals - (Part 137 -137.165, 137.175); In Fruit Butters, Jellies & Preserves, Part 150 (150.141; 150.161); < 0.1% wt of finished pdt Part 155 (155.170, 155.190, 155.200), Cnd Vegs",Monocalcium phosphate (calcium phosphate monobasic),"B&N, GRAS/FS, X-ref - calcium phosphate, monobasic - 182.1217, 182.5217, 182.6215, 182.8217; < 0.75 parts/100 parts of flour (Part 136, Bakery Pdts - 136.110, 136.115, 136.130, 136.160, 136.180); < 4.5 parts including sodium bicarbonate/100 parts of cereal pdt, Part 137 (137.180, 137.270); > 0.25% and < 0.75% phosphated flour; In Self-rising Cereal Flours or Meals - (Part 137 -137.165, 137.175); In Fruit Butters, Jellies & Preserves, Part 150 (150.141; 150.161); < 0.1% wt of finished pdt Part 155 (155.170, 155.190, 155.200), Cnd Vegs"
801,"Monochloracetic acid - PRES, BAN, Any amount in beverages & other foods will serve to adulterate them -189.155",Monochloracetic acid,"PRES, BAN, Any amount in beverages & other foods will serve to adulterate them -189.155"
802,Monoester of alpha -hydro -omega -hydroxy -poly (oxyethylene)poly (oxypropylene) poly (oxyethylene) ((minimum 15 moles) blocked copolymer derived from low erucic acid rapeseed oil- Defoaming agent component used in processing beet sugar - 173.340,Monoester of alpha -hydro -omega -hydroxy -poly (oxyethylene)poly (oxypropylene) poly (oxyethylene) ((minimum 15 moles) blocked copolymer derived from low erucic acid rapeseed oil,Defoaming agent component used in processing beet sugar - 173.340
803,"Monoethanolamine- MISC, REG, < 0.3 ppm in flume water - Used in flume water for washing sugar beets prior to slicing operation - 173.315",Monoethanolamine,"MISC, REG, < 0.3 ppm in flume water - Used in flume water for washing sugar beets prior to slicing operation - 173.315"
804,"Monoglyceride citrate- MISC, REG, < 200 ppm, As a synergist & solubilizer for antioxidants in oils & fats - 172.832",Monoglyceride citrate,"MISC, REG, < 200 ppm, As a synergist & solubilizer for antioxidants in oils & fats - 172.832"
805,"Monoglycerides, distilled- VET, REG, For use in mastitis formulations for treating dairy animals - 526.820","Monoglycerides, distilled","VET, REG, For use in mastitis formulations for treating dairy animals - 526.820"
806,"Monoglycerides of fatty acids- STAB, REG, GMP, Used in mfr of stearyl monoglyceridyl citrate for shortenings -172.755",Monoglycerides of fatty acids,"STAB, REG, GMP, Used in mfr of stearyl monoglyceridyl citrate for shortenings -172.755"
807,"Mono- & diglycerides of edible fats or oils, or edible fat forming acids- MISC, GRAS/FS - 184.1505; EMUL <0.5% - 166.40, Oleomargarine; comb w/monosodium phosphate derivatives <0.5% - Part 163 (163.123, 163.130, 163.135, 163.140, 163.145, 163.150, 163.153, 163.155) Cacao Pdts; FS, <20.0% of shortening ingredients - Part 136 (136.110, 136.115, 136.130, 136.160, 136.180), Bakery Pdts",Mono,"& diglycerides of edible fats or oils, or edible fat forming acids- MISC, GRAS/FS - 184.1505; EMUL <0.5% - 166.40, Oleomargarine; comb w/monosodium phosphate derivatives <0.5% - Part 163 (163.123, 163.130, 163.135, 163.140, 163.145, 163.150, 163.153, 163.155) Cacao Pdts; FS, <20.0% of shortening ingredients - Part 136 (136.110, 136.115, 136.130, 136.160, 136.180), Bakery Pdts"
808,"Monoisopropyl citrate- SEQ, GRAS, GMP - 182.6511, X-ref - ""Isopropyl Citrate""; EMUL Part 166 (166.40, 166.110) Margarine",Monoisopropyl citrate,"SEQ, GRAS, GMP - 182.6511, X-ref - ""Isopropyl Citrate""; EMUL Part 166 (166.40, 166.110) Margarine"
809,"Monopotassium glutamate- MISC, GRAS - 182.1516; NUTR/DS, REG - 172.320",Monopotassium glutamate,"MISC, GRAS - 182.1516; NUTR/DS, REG - 172.320"
810,"Monopotassium phosphate (potassium phosphate, monobasic)- MISC, GRAS/FS, < 0.5% - In Frozen Eggs ­Part 160.110","Monopotassium phosphate (potassium phosphate, monobasic)","MISC, GRAS/FS, < 0.5% - In Frozen Eggs ­Part 160.110"
811,"Monosodium glutamate- FLAV, GRAS/FS, GMP - 182.1; Part 155 (155.120, 155.130, 155.131, 155.170, 155.200, 155.201) - Cnd Vegs; 158.170 - Frozen peas; 161.190 - Cnd Tuna; Part 169 (169.115, 169.140, 169.150) Food Dressings; NUTR/DS, REG -172.320; In animal feeds -582.156",Monosodium glutamate,"FLAV, GRAS/FS, GMP - 182.1; Part 155 (155.120, 155.130, 155.131, 155.170, 155.200, 155.201) - Cnd Vegs; 158.170 - Frozen peas; 161.190 - Cnd Tuna; Part 169 (169.115, 169.140, 169.150) Food Dressings; NUTR/DS, REG -172.320; In animal feeds -582.156"
812,"Monosodium phosphate (sodium phosphate, monobasic)- GRAS/FS, GMP, X-ref - sodium phosphate (monobasic) & sodium phosphate (mono-, di-, and tribasic), MISC -182.1778, DS - 182.5778, SEQ - 182.6085, 182.6778, NUTR - 182.8778; Part 133 (133.173, 133.174), Cheeses, Various; Part 150 (150.141, 150.161), Art Sw Jellies, Jams & Preserves; < 0.5% - In frozen eggs - 160.110; Part 163 (163.123, 163.130, 163.135, 163.140, 163.145, 163.150, 163.153, 163.155), Chocolate Products","Monosodium phosphate (sodium phosphate, monobasic)","GRAS/FS, GMP, X-ref - sodium phosphate (monobasic) & sodium phosphate (mono-, di-, and tribasic), MISC -182.1778, DS - 182.5778, SEQ - 182.6085, 182.6778, NUTR - 182.8778; Part 133 (133.173, 133.174), Cheeses, Various; Part 150 (150.141, 150.161), Art Sw Jellies, Jams & Preserves; < 0.5% - In frozen eggs - 160.110; Part 163 (163.123, 163.130, 163.135, 163.140, 163.145, 163.150, 163.153, 163.155), Chocolate Products"
813,"Monosodium phosphate derivatives of mono- & diglycerides of edible fats or oils, or edible fat-forming fatty acids- EMUL, GRAS, GMP - 184.1521",Monosodium phosphate derivatives of mono,"& diglycerides of edible fats or oils, or edible fat-forming fatty acids- EMUL, GRAS, GMP - 184.1521"
814,"Morantel Tartrate- FEED/VET, REG, 1.2 ppm - As res in uncooked edible cattle muscle tissue - 556.425; 2.4 ppm As res in cattle liver - do; 3.6 ppm - As res in cattle kidney do; 4.8 ppm - As res in fat - do; 0.4 ppm - As res in milk ­do; Use: As bolus - 520.1450; In cattle feed - 558.360; As sustained release triaminate cylinder sheet - 520.1450c",Morantel Tartrate,"FEED/VET, REG, 1.2 ppm - As res in uncooked edible cattle muscle tissue - 556.425; 2.4 ppm As res in cattle liver - do; 3.6 ppm - As res in cattle kidney do; 4.8 ppm - As res in fat - do; 0.4 ppm - As res in milk ­do; Use: As bolus - 520.1450; In cattle feed - 558.360; As sustained release triaminate cylinder sheet - 520.1450c"
815,"Morpholine- CTG, REG, GMP, As the salt(s) of one or more fatty acids meeting 172.860 specs as comp of protective coatings applied to fresh fruits & veg - 172.235; BC, REG, 10 ppm in steam - Except in steam in contact w/milk or milk pdts - 173.310",Morpholine,"CTG, REG, GMP, As the salt(s) of one or more fatty acids meeting 172.860 specs as comp of protective coatings applied to fresh fruits & veg - 172.235; BC, REG, 10 ppm in steam - Except in steam in contact w/milk or milk pdts - 173.310"
816,"Mullein flowers- FL/ADJ, REG, GMP, In alcoholic beverages only - 172.510",Mullein flowers,"FL/ADJ, REG, GMP, In alcoholic beverages only - 172.510"
817,"Musk (tonquin musk)- MISC, GRAS - 182.50",Musk (tonquin musk),"MISC, GRAS - 182.50"
818,"Mustard, brown or black- SP, GRAS - 182.10","Mustard, brown or black","SP, GRAS - 182.10"
819,"Mustard, white or yellow- SP, GRAS - 182.10","Mustard, white or yellow","SP, GRAS - 182.10"
820,"Myristic acid- CTG, REG, GMP - 172.210; NUTR, GMP -172.860; AF used to process sugar beets and yeast -173.340",Myristic acid,"CTG, REG, GMP - 172.210; NUTR, GMP -172.860; AF used to process sugar beets and yeast -173.340"
821,"Myristyl alcohol, synthetic- MISC, REG, GMP, See fatty alcohols, synthetic - 172.864","Myristyl alcohol, synthetic","MISC, REG, GMP, See fatty alcohols, synthetic - 172.864"
822,"Myrj 45 (polyoxyethylene 8-stearate) - EMUL, ILL, (No petition filed) Use in foods unauthorized",Myrj 45 (polyoxyethylene 8-stearate),"EMUL, ILL, (No petition filed) Use in foods unauthorized"
823,"Myrrh- FL/ADJ, REG, GMP, In conjunction w/flavors only -172.510",Myrrh,"FL/ADJ, REG, GMP, In conjunction w/flavors only -172.510"
824,"Myrtle leaves- FL/ADJ, REG, GMP, In alcoholic beverages only - 172.510",Myrtle leaves,"FL/ADJ, REG, GMP, In alcoholic beverages only - 172.510"
825,"Naphtha- SOLV, in color additive mixtures for shell eggs, w/o penetration of color to interior of shell - 73.1",Naphtha,"SOLV, in color additive mixtures for shell eggs, w/o penetration of color to interior of shell - 73.1"
826,"Narasin- FEED, REG, Use: In broiler chicken feeds - 58.363",Narasin,"FEED, REG, Use: In broiler chicken feeds - 58.363"
827,"Naringin- ESO, GRAS - 182.20",Naringin,"ESO, GRAS - 182.20"
828,"NDGA - AOX, ILL, See Nordihydroguaiaretic acid -189.165",NDGA,"AOX, ILL, See Nordihydroguaiaretic acid -189.165"
829,"Natamycin (pimaricin)- FUNG, REG, applied on cheese as an antimycotic not to exceed 20 milligrams per kilogram (20 ppm) in the finished product -172.155",Natamycin (pimaricin),"FUNG, REG, applied on cheese as an antimycotic not to exceed 20 milligrams per kilogram (20 ppm) in the finished product -172.155"
830,Natural Flavoring Substances- see individual flavoring or go to 172.510 for complete list,Natural Flavoring Substances,see individual flavoring or go to 172.510 for complete list
831,Natural gas- x-ref combustion product gas - 173.350,Natural gas,x-ref combustion product gas - 173.350
832,"Neomycin- VET, REG, 0.15 ppm neg res - As res in milk - 556.430:Use - 520.455; 0.25 ppm neg res - As res in edi­ble tissues of calves - do; Use - 520.1484",Neomycin,"VET, REG, 0.15 ppm neg res - As res in milk - 556.430:Use - 520.455; 0.25 ppm neg res - As res in edi­ble tissues of calves - do; Use - 520.1484"
833,"Neotame- NNS, REG, GMP, Sweetening agent and flavor enhancer in foods generally, except in meat in poultry, and in sugar substitute tablets - 172.829",Neotame,"NNS, REG, GMP, Sweetening agent and flavor enhancer in foods generally, except in meat in poultry, and in sugar substitute tablets - 172.829"
834,"Nequinate- FEED, REG, 0.1 ppm neg res - As res in uncooked edible tissue of chickens - 556.440; Use in chick­en feeds - 558.365",Nequinate,"FEED, REG, 0.1 ppm neg res - As res in uncooked edible tissue of chickens - 556.440; Use in chick­en feeds - 558.365"
835,"Neroli, bigarade- ESO, GRAS - 182.20","Neroli, bigarade","ESO, GRAS - 182.20"
836,"Niacin- NUTR/DS, GRAS/FS - 182.5530, 184.1530; Part 137 (137.165, 137.185, 137.235, 137.260, 137.305, 137.350) Cereal Flours; Part 139 (139.115, 139.117, 139.122, 139.155, 139.165), Macaroni & Noodle Pdts; 136.115, Enriched Bread",Niacin,"NUTR/DS, GRAS/FS - 182.5530, 184.1530; Part 137 (137.165, 137.185, 137.235, 137.260, 137.305, 137.350) Cereal Flours; Part 139 (139.115, 139.117, 139.122, 139.155, 139.165), Macaroni & Noodle Pdts; 136.115, Enriched Bread"
837,"Niacinamide-NUTR/DS, GRAS/FS -182.5535, 184.1535; Part 137 (137.165, 137.185, 137.235, 137.260, 137.305, 137.350), Cereal Flours; Part 139 (139.115, 139.117, 139.122, 139.155, 139.165), Macaroni & Noodle Pdts; 136.115, Enriched Bread","Niacinamide-NUTR/DS, GRAS/FS -182.5535, 184.1535; Part 137 (137.165, 137.185, 137.235, 137.260, 137.305, 137.350), Cereal Flours; Part 139 (139.115, 139.117, 139.122, 139.155, 139.165), Macaroni & Noodle Pdts; 136.115, Enriched Bread",
838,"Nicotinamide-ascorbic acid complex- DS, REG, In multi-vitamin prepns as source of ascorbic acid & nicotinamide - 172.315",Nicotinamide-ascorbic acid complex,"DS, REG, In multi-vitamin prepns as source of ascorbic acid & nicotinamide - 172.315"
839,"Nicarbazin- FEED, REG, 4 ppm - As res in uncooked muscle, liver, skin, & kidney of chickens - 556.445; Use in chicken feeds - 558.366",Nicarbazin,"FEED, REG, 4 ppm - As res in uncooked muscle, liver, skin, & kidney of chickens - 556.445; Use in chicken feeds - 558.366"
840,"Nickel- GRAS, GMP - 184.1537",Nickel,"GRAS, GMP - 184.1537"
841,"Nisin preparation- MISC, GRAS - 184.1538; < 250 ppm -Antimicrobial in Cheese pdts, Part 133 (133.175., 133.176, 133.179, 133.180)",Nisin preparation,"MISC, GRAS - 184.1538; < 250 ppm -Antimicrobial in Cheese pdts, Part 133 (133.175., 133.176, 133.179, 133.180)"
842,"Nitarsone- FEED, REG, 0.5 ppm as arsenic - As res in muscle meat & eggs of chicken - 556.60; Use: Feeds -558.369",Nitarsone,"FEED, REG, 0.5 ppm as arsenic - As res in muscle meat & eggs of chicken - 556.60; Use: Feeds -558.369"
843,"Nitrites (sodium and potassium)- X-ref sodium nitrite & potassium nitrite, PRES, PS, curing red meat & poultry pdts -181.34",Nitrites (sodium and potassium),"X-ref sodium nitrite & potassium nitrite, PRES, PS, curing red meat & poultry pdts -181.34"
844,"Nitrofurazone- VET, REG, NOT PERMITTED FOR USE IN ANIMAL FEEDS - USE WITHDRAWN 8/23/91",Nitrofurazone,"VET, REG, NOT PERMITTED FOR USE IN ANIMAL FEEDS - USE WITHDRAWN 8/23/91"
845,"Nitrogen- MISC, GRAS/FS - 184.1540; Part 169 (169.115, 169.140, 169.150), Dressings for Foods; Part 582.1540 - Animal Feeds",Nitrogen,"MISC, GRAS/FS - 184.1540; Part 169 (169.115, 169.140, 169.150), Dressings for Foods; Part 582.1540 - Animal Feeds"
846,"Nitrogen oxides- BL, FS, Part 137 (137.105, 137.155, 137.160, 137.165, 137.170, 137.175, 137.180, 137.185), Cereal Flours",Nitrogen oxides,"BL, FS, Part 137 (137.105, 137.155, 137.160, 137.165, 137.170, 137.175, 137.180, 137.185), Cereal Flours"
847,"3-Nitro-4-hydroxyphenylarsonic acid (Roxarsone)FEED, REG, 0.5 ppm as arsenic - In muscle meat & eggs of chickens as res - 556.60; 2.0 ppm as arsenic - As res in edible by-products, turkeys, & swine - 556.60; 0.5 ppm as arsenic - As res in muscle tissue & by-products other than liver & kidney - 556.60; For feed uses see: 558.530, 558.55, 558.58, 558.76, 558.78, 558.128, 558.376, 558.450, 558.410, 558.680","3-Nitro-4-hydroxyphenylarsonic acid (Roxarsone)FEED, REG, 0.5 ppm as arsenic","In muscle meat & eggs of chickens as res - 556.60; 2.0 ppm as arsenic - As res in edible by-products, turkeys, & swine - 556.60; 0.5 ppm as arsenic - As res in muscle tissue & by-products other than liver & kidney - 556.60; For feed uses see: 558.530, 558.55, 558.58, 558.76, 558.78, 558.128, 558.376, 558.450, 558.410, 558.680"
848,"Nitroimide w/Sulfanitran- FEED, REG, ZERO res for Nitroimide - As res in uncooked edible chicken tissue -556.220; Use in chicken feeds - 558.376",Nitroimide w/Sulfanitran,"FEED, REG, ZERO res for Nitroimide - As res in uncooked edible chicken tissue -556.220; Use in chicken feeds - 558.376"
849,"Nitrosyl chloride- BL, FS, GMP, Part 137 (137.105, 137.155, 137.160, 137.165, 137.170, 137.175, 137.180, 137.185, 137.200, 137.205), Cereal Flours",Nitrosyl chloride,"BL, FS, GMP, Part 137 (137.105, 137.155, 137.160, 137.165, 137.170, 137.175, 137.180, 137.185, 137.200, 137.205), Cereal Flours"
850,"Nitrous oxide- MISC, GRAS, Propellant for dairy & veg-fat toppings in pressurized containers - 184.1545",Nitrous oxide,"MISC, GRAS, Propellant for dairy & veg-fat toppings in pressurized containers - 184.1545"
851,"Nonanoic acid- SANI, REG - 178.1010",Nonanoic acid,"SANI, REG - 178.1010"
852,"alpha-(p-Nonylphenyl)-omega-hydroxypoly(oxyethylene)- SANI, REG, GMP, Adequate drainage",alpha-(p-Nonylphenyl)-omega-hydroxypoly(oxyethylene),"SANI, REG, GMP, Adequate drainage"
853,"Nordihydroguaiaretic acid (NDGA) - AOX, ILL, Not legal for use in foods - 189.165",Nordihydroguaiaretic acid (NDGA),"AOX, ILL, Not legal for use in foods - 189.165"
854,"Novobiocin- FEED/VET, REG, 0.1 ppm - In milk from dairy animals - 556.460; 1.0 ppm - In uncooked edible tissues of cattle, chickens, turkeys, & ducks - 556.060; Uses in chicken, turkey, & duck feeds - 558.415; 525.1590",Novobiocin,"FEED/VET, REG, 0.1 ppm - In milk from dairy animals - 556.460; 1.0 ppm - In uncooked edible tissues of cattle, chickens, turkeys, & ducks - 556.060; Uses in chicken, turkey, & duck feeds - 558.415; 525.1590"
855,"Nutmeg- ESO/SP, GRAS - 182.10",Nutmeg,"ESO/SP, GRAS - 182.10"
856,"Nystatin- FEED, REG, ZERO - In eggs of poultry & in uncooked edible tissues & by-products of swine & poultry from use in feed as res - 556.470; Use in chicken & turkey feeds - 558.430",Nystatin,"FEED, REG, ZERO - In eggs of poultry & in uncooked edible tissues & by-products of swine & poultry from use in feed as res - 556.470; Use in chicken & turkey feeds - 558.430"
857,"Oak moss- FL/ADJ, REG, GMP, Thujone free Comp of flavors - 172.510",Oak moss,"FL/ADJ, REG, GMP, Thujone free Comp of flavors - 172.510"
858,"Oak, white, chips- FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510","Oak, white, chips","FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510"
859,"Oak, (English), wood- FL/ADJ, REG, GMP, In alcoholic beverages only - 172.510","Oak, (English), wood","FL/ADJ, REG, GMP, In alcoholic beverages only - 172.510"
860,"Oat gum- STAB, GRAS, GMP, Part 135.30, Frozen Desserts; Part 133 (133.178, 133.179, 133.180), Cheese Pdts",Oat gum,"STAB, GRAS, GMP, Part 135.30, Frozen Desserts; Part 133 (133.178, 133.179, 133.180), Cheese Pdts"
861,"Octadecylamine- BC, REG, < 3.0 ppm in steam Excluding use of such steam in contact w/milk & milk pdts -173.310",Octadecylamine,"BC, REG, < 3.0 ppm in steam Excluding use of such steam in contact w/milk & milk pdts -173.310"
862,"Octafluorocyclobutane- MISC, REG, GMP, Propellent for food pdts - 173.360",Octafluorocyclobutane,"MISC, REG, GMP, Propellent for food pdts - 173.360"
863,"n-Octanoic (caprylic) acid- X-ref caprylic acid, MISC, GRAS 184.1025; < 0.013% baked pdts, < 0.04% cheeses, < 0.005% fats & oils, 0.016% snack foods, < 0.001% all other food categories - 182.1025; CTG, GMP, fresh citrus fruit, 172.210; MISC, REG, GMP, 172.860; part of aliphatic acid mixture < 1.0% lye peeling soln for fruits & vegs, 173.315; AF, REG, in processing beet sugar & yeast, 173.340; SANI, REG, 109-218 ppm - Comp of sanitizing solution - 178.1010; PRES, GRAS, GMP, in cheese wraps -186.1025",n-Octanoic (caprylic) acid,"X-ref caprylic acid, MISC, GRAS 184.1025; < 0.013% baked pdts, < 0.04% cheeses, < 0.005% fats & oils, 0.016% snack foods, < 0.001% all other food categories - 182.1025; CTG, GMP, fresh citrus fruit, 172.210; MISC, REG, GMP, 172.860; part of aliphatic acid mixture < 1.0% lye peeling soln for fruits & vegs, 173.315; AF, REG, in processing beet sugar & yeast, 173.340; SANI, REG, 109-218 ppm - Comp of sanitizing solution - 178.1010; PRES, GRAS, GMP, in cheese wraps -186.1025"
864,"1-Octenyl succinic anhydride-MISC, REG, < 3.0% alone or < 2.0% w/ < 2.0% aluminum sulfate - Modifier for food starch - 172.892; SANI - 178.1010","1-Octenyl succinic anhydride-MISC, REG, < 3.0% alone or < 2.0% w/ < 2.0% aluminum sulfate",Modifier for food starch - 172.892; SANI - 178.1010
865,"n-Octyl alcohol- AF, REG, GMP, Comp of microcapsules -172.230",n-Octyl alcohol,"AF, REG, GMP, Comp of microcapsules -172.230"
866,"Octyl alcohol, synthetic- MISC, REG, GMP, See Fatty alcohols, synthetic - 172.864; SOLV, REG, extraction process for citric acid - 172.280","Octyl alcohol, synthetic","MISC, REG, GMP, See Fatty alcohols, synthetic - 172.864; SOLV, REG, extraction process for citric acid - 172.280"
867,"Octyldimethylamine and a mixture of n-carboxylic acids- SANI, REG - 178.1010",Octyldimethylamine and a mixture of n-carboxylic acids,"SANI, REG - 178.1010"
868,"Octyl gallate- PRES, REG, <0.0075% in margarine -166.110",Octyl gallate,"PRES, REG, <0.0075% in margarine -166.110"
869,"Oil of sassafras - FL/ADJ, BAN - Illegal for use in foods 189.180",Oil of sassafras,"FL/ADJ, BAN - Illegal for use in foods 189.180"
870,"Oil of sassafras, safrole free- FL/ADJ, REG, GMP, Flavoring in food, See section 172.580 for specs","Oil of sassafras, safrole free","FL/ADJ, REG, GMP, Flavoring in food, See section 172.580 for specs"
871,"Oleandomycin- FEED, REG, 0.15 ppm - As res in edible tissues of chickens, turkeys & swine - 556.480; Uses -558.435",Oleandomycin,"FEED, REG, 0.15 ppm - As res in edible tissues of chickens, turkeys & swine - 556.480; Uses -558.435"
